"variety_a","variety_b","variety_c","best","worst","var_a","var_b","var_c","lon","lat","season","year","planting_date"
"BRT 103-182","SJC 730-79","PM2 Don Rey","C","A","Worse","Worse","Better",-85.729,13.138,"Ap15",2015,2015-12-18
"INTA Rojo","INTA Centro Sur","INTA Sequia","B","A","Worse","Better","Better",-85.375,13.331,"Ap15",2015,2015-12-18
"INTA Ferroso","INTA Matagalpa","BRT 103-182","A","C","Better","Worse","Worse",-85.369,13.329,"Ap15",2015,2015-12-18
"INTA Centro Sur","INTA Rojo","ALS 0532-6","B","C","Better","Better","Better",-85.358,13.332,"Ap15",2015,2015-12-18
"INTA Sequia","PM2 Don Rey","SJC 730-79","B","C","Better","Better","Better",-85.368,13.332,"Ap15",2015,2015-12-20
"ALS 0532-6","INTA Matagalpa","INTA Rojo","A","C","Better","Better","Better",-85.368,13.331,"Ap15",2015,2015-12-20
"PM2 Don Rey","INTA Sequia","INTA Centro Sur","A","C","Better","Worse","Worse",-85.361,13.328,"Ap15",2015,2015-12-20
"INTA Precoz","SJC 730-79","INTA Ferroso","C","B","Worse","Better","Worse",-85.373,13.332,"Ap15",2015,2015-12-18
"BRT 103-182","INTA Matagalpa","INTA Rojo","C","B","Better","Better","Better",-85.357,13.336,"Ap15",2015,2015-12-18
"INTA Sequia","INTA Centro Sur","INTA Matagalpa","B","C","Worse","Worse","Worse",-85.36,13.331,"Ap15",2015,2015-12-16
"INTA Precoz","INTA Ferroso","INTA Centro Sur","B","A","Worse","Better","Better",-85.375,13.332,"Ap15",2015,2015-12-18
"SJC 730-79","BRT 103-182","INTA Matagalpa","B","A","Worse","Better","Better",-85.342,13.336,"Ap15",2015,2015-12-18
"ALS 0532-6","INTA Sequia","INTA Rojo","A","C","Better","Worse","Better",-85.367,13.332,"Ap15",2015,2015-12-18
"PM2 Don Rey","INTA Ferroso","INTA Centro Sur","A","C","Better","Better","Better",-85.453,13.194,"Ap15",2015,2015-12-23
"INTA Precoz","INTA Matagalpa","SJC 730-79","A","C","Better","Worse","Worse",-85.552,13.199,"Ap15",2015,2015-12-19
"BRT 103-182","INTA Rojo","ALS 0532-6","A","C","Better","Worse","Worse",-85.571,13.207,"Ap15",2015,2015-12-19
"PM2 Don Rey","INTA Precoz","INTA Matagalpa","A","C","Better","Better","Better",-85.548,13.177,"Ap15",2015,2015-12-19
"ALS 0532-6","BRT 103-182","SJC 730-79","C","A","Worse","Better","Better",-85.475,13.181,"Ap15",2015,2015-12-17
"INTA Ferroso","INTA Rojo","INTA Sequia","A","C","Better","Worse","Better",-85.236,12.903,"Ap15",2015,2015-12-15
"INTA Centro Sur","INTA Matagalpa","PM2 Don Rey","A","C","Better","Better","Better",-85.46,13.2,"Ap15",2015,2015-12-17
"INTA Sequia","INTA Rojo","BRT 103-182","A","C","Better","Better","Worse",-85.733,13.136,"Ap15",2015,2015-12-07
"INTA Centro Sur","INTA Sequia","INTA Matagalpa","A","C","Better","Better","Better",-85.231,12.892,"Ap15",2015,2015-12-15
"INTA Ferroso","ALS 0532-6","INTA Precoz","B","C","Better","Better","Better",-85.423,13.156,"Ap15",2015,2015-12-12
"SJC 730-79","PM2 Don Rey","INTA Rojo","C","B","Worse","Better","Better",-85.369,13.337,"Ap15",2015,2015-12-15
"INTA Matagalpa","BRT 103-182","INTA Sequia","A","C","Worse","Worse","Better",-85.37,13.338,"Ap15",2015,2015-12-15
"INTA Precoz","INTA Centro Sur","ALS 0532-6","A","C","Worse","Worse","Worse",-85.371,13.337,"Ap15",2015,2015-12-15
"PM2 Don Rey","INTA Ferroso","SJC 730-79","B","A","Worse","Better","Worse",-85.37,13.339,"Ap15",2015,2015-12-15
"INTA Sequia","ALS 0532-6","INTA Centro Sur","A","C","Worse","Worse","Better",-85.369,13.338,"Ap15",2015,2015-12-15
"INTA Ferroso","PM2 Don Rey","INTA Precoz","B","C","Better","Better","Better",-85.371,13.337,"Ap15",2015,2015-12-07
"INTA Rojo","SJC 730-79","BRT 103-182","B","C","Better","Better","Better",-85.736,13.136,"Ap15",2015,2015-12-10
"INTA Sequia","INTA Matagalpa","ALS 0532-6","A","C","Better","Worse","Worse",-85.735,13.138,"Ap15",2015,2015-12-07
"PM2 Don Rey","INTA Precoz","INTA Centro Sur","C","A","Worse","Worse","Better",-85.735,13.137,"Ap15",2015,2015-12-16
"INTA Sequia","ALS 0532-6","INTA Ferroso","B","A","Better","Better","Worse",-85.37,13.336,"Ap15",2015,2015-12-15
"INTA Matagalpa","INTA Sequia","BRT 103-182","A","C","Better","Worse","Worse",-85.735,13.137,"Ap15",2015,2015-12-25
"ALS 0532-6","INTA Centro Sur","PM2 Don Rey","B","A","Worse","Worse","Worse",-85.728,13.141,"Ap15",2016,2016-01-10
"INTA Rojo","INTA Ferroso","INTA Precoz","A","B","Better","Worse","Worse",-85.743,13.129,"Ap15",2015,2015-12-24
"BRT 103-182","INTA Sequia","SJC 730-79","B","C","Better","Better","Better",-85.733,13.136,"Ap15",2015,2015-12-10
"INTA Centro Sur","INTA Matagalpa","ALS 0532-6","B","C","Better","Better","Worse",-85.735,13.138,"Ap15",2015,2015-12-18
"INTA Precoz","PM2 Don Rey","INTA Rojo","A","C","Better","Worse","Worse",-85.735,13.138,"Ap15",2015,2015-12-07
"BRT 103-182","SJC 730-79","INTA Ferroso","B","C","Worse","Better","Worse",-85.728,13.138,"Ap15",2015,2015-12-10
"ALS 0532-6","INTA Centro Sur","INTA Sequia","B","C","Better","Worse","Worse",-85.728,13.145,"Ap15",2015,2015-12-22
"INTA Rojo","INTA Matagalpa","INTA Precoz","B","A","Worse","Better","Worse",-85.732,13.14,"Ap15",2015,2015-12-07
"BRT 103-182","INTA Rojo","SJC 730-79","C","A","Worse","Worse","Worse",-85.728,13.145,"Ap15",2015,2015-12-05
"INTA Rojo","INTA Sequia","INTA Precoz","A","B","Better","Worse","Worse",-85.733,13.138,"Ap15",2015,2015-12-12
"BRT 103-182","INTA Matagalpa","PM2 Don Rey","A","B","Better","Worse","Worse",-85.735,13.139,"Ap15",2015,2015-12-12
"ALS 0532-6","INTA Ferroso","SJC 730-79","B","A","Worse","Worse","Worse",-85.733,13.141,"Ap15",2015,2015-12-10
"INTA Rojo","INTA Centro Sur","INTA Precoz","C","A","Worse","Worse","Better",-85.733,13.136,"Ap15",2015,2015-12-16
"SJC 730-79","INTA Matagalpa","INTA Ferroso","B","A","Worse","Better","Better",-85.736,13.137,"Ap15",2015,2015-12-16
"INTA Rojo","ALS 0532-6","INTA Centro Sur","B","C","Worse","Better","Worse",-85.736,13.136,"Ap15",2015,2015-12-10
"INTA Precoz","PM2 Don Rey","INTA Sequia","C","A","Worse","Worse","Worse",-85.736,13.144,"Ap15",2015,2015-12-10
"SJC 730-79","INTA Centro Sur","ALS 0532-6","B","C","Worse","Better","Worse",-85.728,13.134,"Ap15",2015,2015-12-07
"PM2 Don Rey","INTA Sequia","INTA Rojo","C","A","Worse","Worse","Worse",-85.735,13.137,"Ap15",2015,2015-12-16
"ALS 0532-6","SJC 730-79","INTA Matagalpa","B","C","Worse","Better","Worse",-85.736,13.138,"Ap15",2015,2015-12-16
"PM2 Don Rey","INTA Centro Sur","INTA Rojo","B","A","Worse","Better","Worse",-85.37,13.337,"Ap15",2015,2015-12-07
"BRT 103-182","INTA Sequia","INTA Ferroso","C","B","Worse","Better","Worse",-85.734,13.136,"Ap15",2015,2015-12-16
"INTA Precoz","SJC 730-79","INTA Matagalpa","B","C","Worse","Worse","Better",-85.734,13.136,"Ap15",2015,2015-12-17
"PM2 Don Rey","INTA Matagalpa","SJC 730-79","B","C","Worse","Better","Worse",-85.73,13.129,"Ap15",2015,2015-11-25
"INTA Sequia","INTA Ferroso","INTA Centro Sur","C","A","Worse","Worse","Worse",-85.737,13.136,"Ap15",2015,2015-12-14
"INTA Rojo","SJC 730-79","INTA Matagalpa","C","B","Worse","Worse","Worse",-85.431,13.172,"Ap15",2016,2016-01-09
"PM2 Don Rey","INTA Ferroso","INTA Sequia","B","A","Worse","Worse","Worse",-85.732,13.141,"Ap15",2015,2015-12-07
"SJC 730-79","INTA Rojo","INTA Precoz","B","C","Worse","Better","Worse",-85.368,13.336,"Ap15",2015,2015-12-19
"PM2 Don Rey","INTA Matagalpa","INTA Sequia","C","A","Worse","Better","Better",-85.364,13.335,"Ap15",2015,2015-12-16
"INTA Centro Sur","BRT 103-182","INTA Ferroso","C","A","Worse","Worse","Better",-85.734,13.136,"Ap15",2015,2015-12-10
"INTA Rojo","SJC 730-79","ALS 0532-6","C","B","Worse","Worse","Better",-85.481,13.221,"Ap15",2016,2016-01-09
"INTA Rojo","INTA Matagalpa","INTA Sequia","C","A","Worse","Worse","Worse",-85.235,12.881,"Ap15",2015,2015-12-25
"INTA Sequia","INTA Centro Sur","BRT 103-182","C","A","Worse","Worse","Worse",-85.735,13.136,"Ap15",2015,2015-12-09
"PM2 Don Rey","ALS 0532-6","INTA Ferroso","B","C","Worse","Better","Worse",-85.735,13.141,"Ap15",2015,2015-11-26
"INTA Rojo","INTA Precoz","SJC 730-79","C","A","Worse","Worse","Worse",-85.735,13.135,"Ap15",2015,2015-12-24
"PM2 Don Rey","ALS 0532-6","INTA Sequia","C","B","Better","Better","Better",-85.731,13.134,"Ap15",2015,2015-12-22
"INTA Matagalpa","SJC 730-79","INTA Ferroso","A","C","Better","Worse","Worse",-85.734,13.136,"Ap15",2015,2015-12-14
"BRT 103-182","INTA Rojo","INTA Precoz","B","C","Better","Better","Worse",-85.734,13.135,"Ap15",2016,2016-01-05
"INTA Matagalpa","ALS 0532-6","INTA Ferroso","B","A","Worse","Better","Worse",-85.733,13.133,"Ap15",2016,2016-01-05
"INTA Centro Sur","BRT 103-182","INTA Precoz","A","C","Better","Worse","Worse",-85.732,13.135,"Ap15",2016,2016-01-05
"INTA Centro Sur","SJC 730-79","INTA Ferroso","C","B","Better","Worse","Worse",-85.732,13.133,"Ap15",2015,2015-12-23
"INTA Ferroso","INTA Sequia","INTA Precoz","B","A","Worse","Worse","Worse",-85.732,13.133,"Ap15",2015,2015-12-26
"INTA Ferroso","INTA Matagalpa","INTA Rojo","B","C","Worse","Better","Worse",-85.369,13.333,"Ap15",2015,2015-12-15
"INTA Rojo","INTA Matagalpa","INTA Precoz","C","A","Worse","Better","Better",-85.371,13.335,"Ap15",2015,2015-12-15
"INTA Ferroso","ALS 0532-6","SJC 730-79","A","B","Better","Worse","Worse",-85.371,13.336,"Ap15",2015,2015-12-15
"PM2 Don Rey","INTA Rojo","INTA Precoz","B","A","Worse","Better","Worse",-85.371,13.335,"Ap15",2015,2015-12-19
"SJC 730-79","INTA Centro Sur","BRT 103-182","A","C","Better","Worse","Worse",-85.369,13.324,"Ap15",2015,2015-12-20
"INTA Precoz","INTA Sequia","PM2 Don Rey","A","C","Better","Better","Better",-85.368,13.332,"Ap15",2015,2015-12-15
"ALS 0532-6","INTA Rojo","INTA Ferroso","B","A","Worse","Better","Worse",-85.36,13.336,"Ap15",2015,2015-12-18
"INTA Rojo","PM2 Don Rey","ALS 0532-6","A","C","Worse","Worse","Worse",-85.37,13.332,"Ap15",2015,2015-12-15
"INTA Sequia","INTA Precoz","INTA Centro Sur","A","B","Better","Worse","Worse",-85.37,13.336,"Ap15",2015,2015-12-15
"INTA Matagalpa","SJC 730-79","INTA Rojo","C","A","Better","Better","Worse",-85.37,13.333,"Ap15",2015,2015-12-19
"ALS 0532-6","SJC 730-79","INTA Matagalpa","A","B","Better","Worse","Better",-85.367,13.335,"Ap15",2015,2015-12-20
"INTA Precoz","INTA Rojo","INTA Sequia","C","B","Worse","Worse","Better",-85.372,13.331,"Ap15",2015,2015-12-18
"PM2 Don Rey","ALS 0532-6","INTA Matagalpa","C","B","Better","Worse","Better",-85.372,13.332,"Ap15",2015,2015-12-19
"SJC 730-79","BRT 103-182","INTA Centro Sur","C","A","Worse","Worse","Worse",-85.37,13.333,"Ap15",2015,2015-12-15
"INTA Rojo","SJC 730-79","INTA Sequia","A","C","Better","Worse","Worse",-85.37,13.333,"Ap15",2015,2015-12-02
"INTA Matagalpa","ALS 0532-6","PM2 Don Rey","A","B","Better","Worse","Better",-85.369,13.334,"Ap15",2015,2015-12-19
"BRT 103-182","INTA Precoz","INTA Ferroso","C","A","Worse","Better","Better",-85.372,13.332,"Ap15",2015,2015-12-19
"INTA Sequia","BRT 103-182","INTA Ferroso","A","B","Better","Better","Better",-85.371,13.335,"Ap15",2015,2015-12-20
"INTA Precoz","INTA Centro Sur","INTA Matagalpa","C","A","Worse","Worse","Worse",-85.356,13.327,"Ap15",2015,2015-12-18
"INTA Sequia","BRT 103-182","INTA Rojo","B","C","Worse","Worse","Worse",-85.371,13.335,"Ap15",2015,2015-12-19
"INTA Centro Sur","INTA Precoz","BRT 103-182","A","C","Better","Better","Worse",-85.369,13.329,"Ap15",2015,2015-12-15
"INTA Sequia","INTA Ferroso","INTA Matagalpa","A","C","Better","Worse","Worse",-85.369,13.334,"Ap15",2015,2015-12-19
"PM2 Don Rey","INTA Matagalpa","INTA Sequia","C","A","Worse","Worse","Better",-85.367,13.331,"Ap15",2015,2015-12-19
"SJC 730-79","ALS 0532-6","INTA Rojo","C","B","Better","Better","Better",-85.372,13.338,"Ap15",2015,2015-12-20
"INTA Centro Sur","BRT 103-182","INTA Sequia","B","C","Worse","Better","Worse",-85.371,13.336,"Ap15",2015,2015-12-19
"BRT 103-182","SJC 730-79","INTA Sequia","A","C","Better","Worse","Worse",-85.428,13.196,"Ap15",2016,2016-01-11
"PM2 Don Rey","INTA Rojo","INTA Ferroso","B","C","Worse","Better","Worse",-85.369,13.334,"Ap15",2015,2015-12-19
"SJC 730-79","INTA Sequia","ALS 0532-6","A","C","Worse","Worse","Worse",-85.371,13.329,"Ap15",2015,2015-12-20
"INTA Matagalpa","BRT 103-182","INTA Centro Sur","A","C","Better","Worse","Worse",-85.376,13.334,"Ap15",2015,2015-12-20
"SJC 730-79","ALS 0532-6","INTA Rojo","B","C","Worse","Worse","Worse",-85.371,13.329,"Ap15",2015,2015-12-20
"INTA Sequia","BRT 103-182","INTA Matagalpa","B","C","Better","Better","Worse",-85.367,13.332,"Ap15",2015,2015-12-18
"INTA Ferroso","BRT 103-182","INTA Precoz","B","C","Worse","Worse","Worse",-85.378,13.334,"Ap15",2015,2015-12-15
"INTA Rojo","INTA Ferroso","SJC 730-79","B","C","Worse","Better","Worse",-85.242,12.915,"Ap15",2015,2015-12-15
"INTA Precoz","INTA Centro Sur","PM2 Don Rey","B","C","Worse","Better","Worse",-85.372,13.335,"Ap15",2015,2015-12-15
"INTA Precoz","INTA Centro Sur","SJC 730-79","A","C","Better","Better","Worse",-85.358,13.332,"Ap15",2015,2015-12-18
"ALS 0532-6","INTA Rojo","INTA Ferroso","B","A","Worse","Better","Worse",-85.353,13.334,"Ap15",2015,2015-12-20
"PM2 Don Rey","INTA Matagalpa","BRT 103-182","A","C","Worse","Worse","Worse",-85.369,13.334,"Ap15",2015,2015-12-20
"INTA Matagalpa","INTA Rojo","PM2 Don Rey","B","C","Worse","Better","Worse",-85.353,13.335,"Ap15",2015,2015-12-18
"SJC 730-79","INTA Ferroso","INTA Precoz","B","A","Worse","Better","Worse",-85.347,13.334,"Ap15",2015,2015-12-18
"INTA Precoz","PM2 Don Rey","ALS 0532-6","B","C","Worse","Better","Better",-85.37,13.334,"Ap15",2015,2015-12-15
"INTA Centro Sur","INTA Rojo","BRT 103-182","A","C","Worse","Worse","Worse",-85.37,13.336,"Ap15",2015,2015-12-15
"SJC 730-79","PM2 Don Rey","INTA Precoz","A","C","Better","Worse","Worse",-85.368,13.334,"Ap15",2015,2015-12-20
"INTA Matagalpa","INTA Centro Sur","INTA Rojo","B","C","Worse","Worse","Worse",-85.225,12.879,"Ap15",2015,2015-12-25
"BRT 103-182","INTA Precoz","SJC 730-79","C","B","Worse","Worse","Better",-85.375,13.334,"Ap15",2015,2015-12-18
"INTA Ferroso","ALS 0532-6","PM2 Don Rey","B","A","Worse","Better","Worse",-85.349,13.332,"Ap15",2015,2015-12-18
"INTA Ferroso","SJC 730-79","PM2 Don Rey","C","A","Worse","Worse","Better",-85.36,13.328,"Ap15",2015,2015-12-20
"INTA Matagalpa","BRT 103-182","INTA Centro Sur","B","C","Worse","Better","Worse",-85.369,13.335,"Ap15",2015,2015-12-18
"INTA Sequia","INTA Matagalpa","INTA Rojo","A","B","Better","Worse","Worse",-85.459,13.184,"Ap15",2015,2015-12-14
"BRT 103-182","PM2 Don Rey","INTA Precoz","B","A","Worse","Better","Better",-85.43,13.152,"Ap15",2015,2015-12-16
"INTA Sequia","INTA Matagalpa","ALS 0532-6","A","B","Better","Better","Better",-85.578,13.272,"Ap15",2015,2015-12-09
"INTA Ferroso","SJC 730-79","PM2 Don Rey","B","C","Worse","Better","Worse",-85.593,13.217,"Ap15",2015,2015-12-19
"SJC 730-79","INTA Sequia","ALS 0532-6","A","C","Better","Worse","Worse",-85.568,13.197,"Ap15",2015,2015-12-19
"INTA Centro Sur","INTA Rojo","INTA Matagalpa","B","C","Worse","Better","Worse",-85.491,13.201,"Ap15",2015,2015-12-19
"BRT 103-182","INTA Ferroso","PM2 Don Rey","B","C","Worse","Better","Worse",-85.463,12.823,"Ap15",2015,2015-12-05
"ALS 0532-6","SJC 730-79","INTA Precoz","B","A","Worse","Better","Worse",-85.463,13.197,"Ap15",2015,2015-12-15
"INTA Centro Sur","INTA Matagalpa","INTA Sequia","C","A","Worse","Worse","Better",-85.578,13.264,"Ap15",2015,2015-12-12
"INTA Ferroso","BRT 103-182","INTA Rojo","B","C","Worse","Better","Worse",-85.42,13.149,"Ap15",2015,2015-12-12
"INTA Sequia","SJC 730-79","INTA Matagalpa","B","C","Worse","Better","Worse",-85.568,13.189,"Ap15",2015,2015-12-21
"INTA Ferroso","BRT 103-182","INTA Centro Sur","B","A","Worse","Better","Worse",-85.465,13.201,"Ap15",2015,2015-12-23
"ALS 0532-6","SJC 730-79","INTA Sequia","B","C","Worse","Better","Worse",-85.721,13.141,"Ap15",2015,2015-12-16
"INTA Ferroso","INTA Matagalpa","BRT 103-182","C","A","Worse","Worse","Better",-85.431,13.178,"Ap15",2015,2015-12-30
"ALS 0532-6","PM2 Don Rey","SJC 730-79","C","A","Worse","Worse","Better",-85.454,12.816,"Ap15",2015,2015-12-08
"INTA Matagalpa","INTA Rojo","INTA Centro Sur","C","A","Worse","Worse","Better",-85.483,13.211,"Ap15",2015,2015-12-12
"INTA Precoz","PM2 Don Rey","SJC 730-79","B","C","Worse","Better","Worse",-85.713,13.144,"Ap15",2016,2016-01-06
"ALS 0532-6","INTA Sequia","BRT 103-182","B","C","Worse","Better","Worse",-85.483,13.196,"Ap15",2015,2015-12-17
"INTA Centro Sur","INTA Ferroso","INTA Rojo","A","C","Better","Worse","Worse",-85.364,13.334,"Ap15",2015,2015-12-16
"INTA Centro Sur","BRT 103-182","INTA Ferroso","C","A","Worse","Worse","Better",-85.367,13.342,"Ap15",2015,2015-12-16
"PM2 Don Rey","INTA Matagalpa","INTA Rojo","C","B","Worse","Worse","Better",-85.598,12.735,"Ap15",2015,2015-12-07
"ALS 0532-6","INTA Precoz","SJC 730-79","B","A","Worse","Better","Worse",-85.371,13.34,"Ap15",2015,2015-12-16
"BRT 103-182","PM2 Don Rey","INTA Matagalpa","B","C","Worse","Better","Worse",-85.367,13.339,"Ap15",2015,2015-12-15
"INTA Rojo","INTA Precoz","ALS 0532-6","B","A","Worse","Better","Worse",-85.369,13.338,"Ap15",2015,2015-12-16
"SJC 730-79","INTA Sequia","INTA Ferroso","B","A","Worse","Better","Worse",-85.367,13.342,"Ap15",2015,2015-12-16
"ALS 0532-6","BRT 103-182","INTA Precoz","C","A","Worse","Worse","Better",-85.373,13.335,"Ap15",2015,2015-12-16
"SJC 730-79","INTA Rojo","INTA Sequia","B","A","Worse","Better","Worse",-85.465,12.821,"Ap15",2015,2015-12-08
"INTA Centro Sur","INTA Matagalpa","INTA Ferroso","A","C","Better","Worse","Worse",-85.371,13.335,"Ap15",2015,2015-12-15
"SJC 730-79","PM2 Don Rey","ALS 0532-6","C","B","Worse","Worse","Better",-85.674,13.371,"Ap15",2015,2015-12-20
"INTA Precoz","BRT 103-182","PM2 Don Rey","A","C","Better","Worse","Better",-85.371,13.335,"Ap15",2015,2015-12-15
"INTA Rojo","SJC 730-79","ALS 0532-6","A","B","Better","Worse","Better",-85.729,13.133,"Ap15",2015,2015-12-06
"INTA Ferroso","INTA Sequia","INTA Matagalpa","C","A","Worse","Worse","Better",-85.369,13.337,"Ap15",2015,2015-12-15
"BRT 103-182","INTA Centro Sur","PM2 Don Rey","B","C","Better","Better","Worse",-85.368,13.339,"Ap15",2015,2015-12-09
"INTA Ferroso","BRT 103-182","PM2 Don Rey","C","A","Worse","Worse","Better",-85.475,13.201,"Ap15",2016,2016-01-09
"SJC 730-79","INTA Rojo","INTA Centro Sur","A","C","Worse","Worse","Worse",-85.37,13.337,"Ap15",2015,2015-12-15
"INTA Matagalpa","INTA Precoz","ALS 0532-6","A","C","Better","Better","Worse",-85.369,13.337,"Ap15",2015,2015-12-15
"PM2 Don Rey","INTA Sequia","INTA Ferroso","A","C","Better","Worse","Worse",-85.371,13.336,"Ap15",2015,2015-12-15
"INTA Precoz","INTA Sequia","INTA Ferroso","A","B","Better","Worse","Better",-85.371,13.337,"Ap15",2015,2015-12-12
"INTA Rojo","ALS 0532-6","INTA Precoz","A","B","Worse","Worse","Better",-85.37,13.336,"Ap15",2015,2015-12-15
"INTA Matagalpa","PM2 Don Rey","INTA Sequia","C","A","Worse","Better","Better",-85.527,13.228,"Ap15",2015,2015-12-16
"INTA Ferroso","INTA Centro Sur","SJC 730-79","B","C","Better","Better","Worse",-85.37,13.338,"Ap15",2015,2015-12-15
"INTA Rojo","BRT 103-182","INTA Precoz","B","C","Worse","Worse","Worse",-85.37,13.338,"Ap15",2015,2015-12-07
"ALS 0532-6","PM2 Don Rey","INTA Sequia","B","C","Worse","Better","Better",-85.37,13.338,"Ap15",2015,2015-12-07
"INTA Centro Sur","SJC 730-79","INTA Matagalpa","B","C","Better","Better","Better",-85.369,13.336,"Ap15",2015,2015-12-07
"INTA Sequia","ALS 0532-6","INTA Rojo","A","C","Better","Better","Worse",-85.369,13.333,"Ap15",2015,2015-12-16
