"variety_a","variety_b","variety_c","best","worst","var_a","var_b","var_c","lon","lat","season","year","planting_date"
"PM2 Don Rey","INTA Centro Sur","SJC 730-79","A","C","Better","Worse","Worse",-85.37,13.335,"Ap15",2015,2015-12-15
"INTA Matagalpa","BRT 103-182","INTA Precoz","B","A","Worse","Better","Worse",-85.369,13.336,"Ap15",2015,2015-12-15
"PM2 Don Rey","INTA Matagalpa","SJC 730-79","A","C","Better","Worse","Worse",-85.368,13.339,"Ap15",2015,2015-12-16
"PM2 Don Rey","INTA Sequia","SJC 730-79","B","A","Worse","Better","Worse",-85.37,13.336,"Ap15",2015,2015-12-15
"BRT 103-182","INTA Centro Sur","INTA Matagalpa","C","B","Better","Better","Better",-85.367,13.339,"Ap15",2015,2015-12-10
"ALS 0532-6","PM2 Don Rey","INTA Sequia","C","A","Worse","Worse","Better",-85.371,13.336,"Ap15",2015,2015-12-15
"INTA Centro Sur","BRT 103-182","SJC 730-79","B","C","Worse","Worse","Worse",-85.728,13.137,"Ap15",2015,2015-12-14
"INTA Ferroso","INTA Matagalpa","INTA Rojo","C","A","Worse","Worse","Better",-85.368,13.339,"Ap15",2015,2015-12-16
"INTA Sequia","ALS 0532-6","INTA Precoz","A","C","Better","Better","Better",-85.37,13.336,"Ap15",2015,2015-12-07
"PM2 Don Rey","SJC 730-79","BRT 103-182","A","B","Better","Worse","Better",-85.369,13.336,"Ap15",2015,2015-12-16
"INTA Rojo","INTA Ferroso","INTA Centro Sur","B","C","Worse","Worse","Worse",-85.367,13.335,"Ap15",2015,2015-12-16
"INTA Matagalpa","INTA Precoz","ALS 0532-6","C","A","Better","Worse","Better",-85.369,13.338,"Ap15",2015,2015-12-16
"BRT 103-182","ALS 0532-6","INTA Rojo","C","B","Worse","Worse","Better",-85.432,13.176,"Ap15",2016,2016-01-18
"INTA Sequia","PM2 Don Rey","SJC 730-79","A","C","Worse","Worse","Worse",-85.734,13.136,"Ap15",2015,2015-12-15
"INTA Centro Sur","BRT 103-182","INTA Rojo","C","B","Worse","Worse","Worse",-85.432,13.158,"Ap15",2015,2015-12-29
"ALS 0532-6","INTA Ferroso","INTA Precoz","C","B","Worse","Worse","Better",-85.22,12.884,"Ap15",2015,2015-12-15
"INTA Matagalpa","INTA Sequia","INTA Precoz","C","A","Better","Worse","Better",-85.232,12.889,"Ap15",2015,2015-12-15
"INTA Rojo","SJC 730-79","PM2 Don Rey","C","A","Better","Worse","Better",-85.732,13.138,"Ap15",2015,2015-12-10
"ALS 0532-6","BRT 103-182","INTA Centro Sur","A","C","Better","Worse","Worse",-85.24,12.914,"Ap15",2015,2015-12-18
"SJC 730-79","ALS 0532-6","BRT 103-182","C","A","Worse","Worse","Better",-85.367,13.338,"Ap15",2015,2015-12-16
"INTA Matagalpa","SJC 730-79","ALS 0532-6","C","A","Worse","Worse","Better",-85.725,13.124,"Ap15",2015,2015-12-25
"SJC 730-79","INTA Matagalpa","INTA Precoz","C","B","Worse","Worse","Better",-85.218,12.884,"Ap15",2015,2015-12-15
"PM2 Don Rey","BRT 103-182","SJC 730-79","B","A","Better","Worse","Worse",-85.367,13.34,"Ap15",2015,2015-12-10
"INTA Precoz","INTA Matagalpa","INTA Rojo","B","C","Worse","Better","Worse",-85.369,13.339,"Ap15",2015,2015-12-16
"INTA Sequia","BRT 103-182","INTA Matagalpa","B","A","Worse","Better","Worse",-85.614,13.39,"Ap15",2015,2015-12-25
"INTA Centro Sur","PM2 Don Rey","INTA Ferroso","C","A","Worse","Worse","Better",-85.368,13.335,"Ap15",2015,2015-12-16
"BRT 103-182","INTA Sequia","INTA Rojo","C","A","Worse","Worse","Better",-85.494,13.182,"Ap15",2015,2015-12-15
"INTA Sequia","INTA Ferroso","INTA Centro Sur","A","B","Better","Worse","Worse",-85.229,12.902,"Ap15",2015,2015-12-14
"INTA Precoz","INTA Matagalpa","INTA Ferroso","C","A","Better","Better","Worse",-85.209,12.892,"Ap15",2015,2015-12-15
"INTA Centro Sur","INTA Rojo","INTA Sequia","B","C","Worse","Better","Worse",-85.369,13.335,"Ap15",2015,2015-12-16
"ALS 0532-6","BRT 103-182","INTA Precoz","C","A","Worse","Better","Worse",-85.367,13.338,"Ap15",2015,2015-12-16
"SJC 730-79","INTA Rojo","INTA Centro Sur","B","C","Worse","Better","Worse",-85.369,13.339,"Ap15",2015,2015-12-16
"ALS 0532-6","SJC 730-79","INTA Sequia","C","A","Worse","Worse","Better",-85.368,13.339,"Ap15",2015,2015-12-16
"SJC 730-79","INTA Centro Sur","PM2 Don Rey","C","B","Worse","Worse","Worse",-85.368,13.335,"Ap15",2015,2015-12-15
"INTA Precoz","INTA Rojo","INTA Sequia","B","A","Worse","Better","Worse",-85.456,13.194,"Ap15",2015,2015-12-30
"INTA Ferroso","INTA Matagalpa","INTA Rojo","A","C","Better","Better","Better",-85.368,13.336,"Ap15",2015,2015-12-16
"INTA Precoz","INTA Sequia","INTA Rojo","B","A","Worse","Better","Worse",-85.367,13.338,"Ap15",2015,2015-12-16
"ALS 0532-6","INTA Rojo","BRT 103-182","B","A","Worse","Worse","Better",-85.368,13.339,"Ap15",2015,2015-12-16
"INTA Centro Sur","INTA Precoz","INTA Sequia","A","B","Better","Worse","Worse",-85.464,12.832,"Ap15",2015,2015-12-14
"ALS 0532-6","BRT 103-182","INTA Ferroso","C","A","Worse","Worse","Better",-85.364,13.331,"Ap15",2015,2015-12-18
"INTA Precoz","INTA Matagalpa","INTA Sequia","C","A","Worse","Worse","Better",-85.367,13.339,"Ap15",2015,2015-12-16
"ALS 0532-6","INTA Centro Sur","BRT 103-182","A","C","Better","Worse","Worse",-85.367,13.339,"Ap15",2015,2015-12-16
"ALS 0532-6","INTA Centro Sur","INTA Matagalpa","B","A","Worse","Better","Worse",-85.456,12.835,"Ap15",2015,2015-12-26
"PM2 Don Rey","INTA Centro Sur","INTA Ferroso","C","A","Worse","Worse","Better",-85.368,13.339,"Ap15",2015,2015-12-16
"INTA Matagalpa","INTA Centro Sur","INTA Sequia","C","A","Worse","Worse","Better",-85.654,13.451,"Ap15",2015,2015-12-28
"INTA Ferroso","PM2 Don Rey","ALS 0532-6","B","C","Worse","Better","Worse",-85.191,13.014,"Ap15",2015,2015-12-20
"INTA Sequia","INTA Matagalpa","INTA Precoz","A","B","Better","Worse","Worse",-85.73,13.132,"Ap15",2015,2015-12-21
"PM2 Don Rey","INTA Ferroso","INTA Centro Sur","B","A","Better","Better","Worse",-85.281,12.963,"Ap15",2015,2015-12-22
"BRT 103-182","SJC 730-79","ALS 0532-6","B","A","Worse","Better","Worse",-85.467,13.212,"Ap15",2016,2016-01-04
"INTA Sequia","INTA Precoz","INTA Rojo","A","B","Worse","Worse","Worse",-85.732,13.134,"Ap15",2015,2015-12-14
"SJC 730-79","INTA Ferroso","BRT 103-182","B","C","Worse","Better","Worse",-86.003,13.092,"Ap15",2015,2015-12-21
"BRT 103-182","SJC 730-79","INTA Matagalpa","A","C","Better","Worse","Worse",-85.437,13.182,"Ap15",2015,2015-12-28
"INTA Sequia","INTA Rojo","ALS 0532-6","C","A","Worse","Worse","Better",-85.733,13.152,"Ap15",2015,2015-12-17
"INTA Precoz","INTA Centro Sur","PM2 Don Rey","B","C","Worse","Better","Worse",-85.248,12.885,"Ap15",2015,2015-12-23
"INTA Rojo","PM2 Don Rey","INTA Centro Sur","A","C","Better","Worse","Worse",-86.003,13.093,"Ap15",2015,2015-12-21
"INTA Precoz","SJC 730-79","INTA Ferroso","A","C","Better","Worse","Worse",-85.449,13.185,"Ap15",2015,2015-12-30
"ALS 0532-6","INTA Matagalpa","BRT 103-182","A","C","Better","Better","Better",-85.751,13.37,"Ap15",2015,2015-12-26
"INTA Ferroso","INTA Precoz","INTA Matagalpa","A","B","Better","Worse","Worse",-85.47,13.201,"Ap15",2016,2016-01-05
"BRT 103-182","PM2 Don Rey","ALS 0532-6","A","C","Better","Worse","Worse",-85.457,13.208,"Ap15",2015,2015-12-16
"INTA Sequia","ALS 0532-6","INTA Rojo","C","A","Better","Worse","Worse",-85.461,12.813,"Ap15",2015,2015-12-15
"ALS 0532-6","PM2 Don Rey","BRT 103-182","C","A","Worse","Worse","Better",-85.717,13.137,"Ap15",2015,2015-12-18
"SJC 730-79","INTA Sequia","INTA Centro Sur","A","B","Better","Worse","Worse",-85.233,12.908,"Ap15",2015,2015-12-12
"INTA Matagalpa","INTA Ferroso","INTA Precoz","B","A","Worse","Better","Worse",-85.236,12.904,"Ap15",2015,2015-12-14
"ALS 0532-6","BRT 103-182","PM2 Don Rey","C","A","Worse","Worse","Better",-85.713,13.14,"Ap15",2015,2015-12-17
"PM2 Don Rey","BRT 103-182","ALS 0532-6","B","A","Worse","Better","Worse",-85.729,13.141,"Ap15",2015,2015-12-14
"INTA Centro Sur","INTA Rojo","INTA Sequia","A","B","Better","Worse","Worse",-85.479,13.186,"Ap15",2016,2016-01-06
"INTA Ferroso","ALS 0532-6","PM2 Don Rey","A","C","Better","Worse","Worse",-85.714,13.137,"Ap15",2015,2015-12-14
"INTA Ferroso","INTA Precoz","PM2 Don Rey","A","C","Better","Worse","Worse",-85.574,13.201,"Ap15",2015,2015-12-19
"BRT 103-182","INTA Rojo","INTA Sequia","B","A","Worse","Better","Worse",-85.457,13.212,"Ap15",2015,2015-12-16
"INTA Matagalpa","INTA Precoz","INTA Centro Sur","C","B","Worse","Worse","Better",-85.486,13.177,"Ap15",2015,2015-12-15
"ALS 0532-6","BRT 103-182","INTA Rojo","C","A","Worse","Worse","Better",-85.459,13.193,"Ap15",2015,2015-12-08
"INTA Rojo","SJC 730-79","ALS 0532-6","A","C","Better","Worse","Worse",-85.576,13.208,"Ap15",2015,2015-12-19
"INTA Sequia","BRT 103-182","INTA Centro Sur","B","A","Worse","Better","Worse",-85.541,13.207,"Ap15",2015,2015-12-19
"INTA Ferroso","INTA Centro Sur","BRT 103-182","A","C","Better","Worse","Worse",-85.457,12.838,"Ap15",2015,2015-12-03
"SJC 730-79","INTA Matagalpa","INTA Centro Sur","C","A","Worse","Worse","Better",-85.457,12.812,"Ap15",2015,2015-12-15
"INTA Rojo","ALS 0532-6","PM2 Don Rey","A","C","Better","Worse","Worse",-85.456,13.205,"Ap15",2015,2015-12-27
"BRT 103-182","INTA Matagalpa","PM2 Don Rey","C","B","Worse","Worse","Better",-85.46,12.809,"Ap15",2015,2015-12-16
"INTA Centro Sur","PM2 Don Rey","INTA Sequia","B","C","Worse","Better","Worse",-85.37,13.337,"Ap15",2015,2015-12-15
"INTA Rojo","INTA Precoz","INTA Matagalpa","A","B","Better","Worse","Worse",-85.726,13.13,"Ap15",2015,2015-12-06
"ALS 0532-6","INTA Centro Sur","BRT 103-182","A","C","Better","Worse","Worse",-85.693,13.455,"Ap15",2015,2015-12-27
"INTA Matagalpa","INTA Rojo","PM2 Don Rey","B","A","Worse","Better","Worse",-85.46,12.831,"Ap15",2015,2015-12-16
"INTA Ferroso","INTA Sequia","SJC 730-79","A","C","Better","Worse","Worse",-86.001,13.085,"Ap15",2015,2015-12-21
"INTA Precoz","INTA Centro Sur","BRT 103-182","C","A","Worse","Worse","Better",-85.67,13.361,"Ap15",2015,2015-12-15
"BRT 103-182","SJC 730-79","PM2 Don Rey","A","B","Better","Worse","Worse",-85.493,13.22,"Ap15",2016,2016-01-03
"INTA Rojo","INTA Sequia","INTA Ferroso","A","C","Better","Worse","Worse",-85.442,13.209,"Ap15",2015,2015-12-16
"INTA Precoz","SJC 730-79","BRT 103-182","B","C","Worse","Better","Worse",-85.73,13.13,"Ap15",2015,2015-12-17
"ALS 0532-6","INTA Centro Sur","PM2 Don Rey","A","C","Better","Worse","Worse",-85.426,13.153,"Ap15",2015,2015-12-29
"INTA Sequia","INTA Matagalpa","INTA Ferroso","A","C","Better","Worse","Worse",-85.459,12.827,"Ap15",2015,2015-12-16
"INTA Precoz","BRT 103-182","INTA Rojo","B","C","Worse","Better","Worse",-86.003,13.092,"Ap15",2015,2015-12-10
"INTA Centro Sur","SJC 730-79","ALS 0532-6","A","C","Better","Worse","Worse",-85.722,13.134,"Ap15",2015,2015-12-07
"INTA Sequia","PM2 Don Rey","INTA Ferroso","A","C","Better","Worse","Worse",-85.658,13.411,"Ap15",2015,2015-12-23
"INTA Matagalpa","BRT 103-182","INTA Rojo","B","A","Worse","Better","Worse",-85.459,12.825,"Ap15",2015,2015-12-10
"INTA Centro Sur","INTA Precoz","SJC 730-79","C","B","Worse","Worse","Better",-85.46,12.816,"Ap15",2015,2015-12-10
"ALS 0532-6","INTA Ferroso","INTA Sequia","B","A","Worse","Better","Worse",-85.575,12.727,"Ap15",2015,2015-12-07
"INTA Matagalpa","BRT 103-182","PM2 Don Rey","B","A","Worse","Better","Worse",-85.437,13.256,"Ap15",2016,2016-01-05
"INTA Rojo","SJC 730-79","INTA Precoz","B","A","Worse","Better","Worse",-85.526,13.436,"Ap15",2015,2015-12-23
"INTA Precoz","BRT 103-182","INTA Rojo","B","A","Worse","Better","Worse",-85.495,13.223,"Ap15",2015,2015-12-23
"INTA Sequia","PM2 Don Rey","INTA Matagalpa","A","C","Better","Worse","Worse",-85.243,12.892,"Ap15",2015,2015-12-15
"SJC 730-79","ALS 0532-6","INTA Centro Sur","B","C","Worse","Better","Worse",-85.461,12.835,"Ap15",2015,2015-12-26
"INTA Sequia","INTA Ferroso","PM2 Don Rey","A","B","Better","Worse","Worse",-85.714,13.14,"Ap15",2015,2015-12-12
"INTA Rojo","INTA Matagalpa","BRT 103-182","B","C","Worse","Better","Worse",-85.608,13.395,"Ap15",2015,2015-12-15
"INTA Precoz","SJC 730-79","ALS 0532-6","C","A","Worse","Worse","Better",-85.616,13.458,"Ap15",2015,2015-12-17
"INTA Centro Sur","INTA Ferroso","INTA Sequia","C","A","Worse","Worse","Better",-85.594,13.446,"Ap15",2016,2016-01-05
"INTA Ferroso","ALS 0532-6","INTA Centro Sur","B","C","Worse","Better","Worse",-85.666,13.364,"Ap15",2015,2015-12-20
"INTA Matagalpa","INTA Sequia","BRT 103-182","C","A","Worse","Worse","Better",-85.678,13.382,"Ap15",2015,2015-12-07
"PM2 Don Rey","INTA Precoz","INTA Rojo","B","C","Worse","Better","Worse",-85.483,13.235,"Ap15",2016,2016-01-18
"INTA Centro Sur","SJC 730-79","INTA Ferroso","A","C","Better","Worse","Worse",-85.669,13.362,"Ap15",2015,2015-12-15
"SJC 730-79","INTA Rojo","INTA Centro Sur","C","B","Worse","Worse","Worse",-85.459,13.189,"Ap15",2015,2015-12-15
"INTA Matagalpa","BRT 103-182","INTA Rojo","C","A","Worse","Worse","Better",-85.737,13.132,"Ap15",2015,2015-12-20
"PM2 Don Rey","INTA Precoz","ALS 0532-6","B","C","Worse","Better","Worse",-85.507,13.219,"Ap15",2015,2015-12-23
"BRT 103-182","INTA Centro Sur","SJC 730-79","C","B","Worse","Worse","Worse",-85.627,13.317,"Ap15",2015,2015-12-25
"INTA Ferroso","INTA Matagalpa","INTA Sequia","A","C","Better","Worse","Worse",-85.37,13.337,"Ap15",2015,2015-12-15
"INTA Rojo","INTA Sequia","INTA Centro Sur","B","C","Worse","Better","Worse",-85.627,13.387,"Ap15",2016,2016-01-11
"SJC 730-79","ALS 0532-6","BRT 103-182","B","A","Worse","Better","Worse",-85.434,13.17,"Ap15",2016,2016-01-08
"INTA Rojo","INTA Sequia","INTA Centro Sur","C","A","Worse","Worse","Better",-85.577,13.266,"Ap15",2015,2015-12-14
"INTA Ferroso","ALS 0532-6","SJC 730-79","B","C","Worse","Worse","Worse",-85.665,13.388,"Ap15",2015,2015-12-28
"ALS 0532-6","INTA Ferroso","INTA Sequia","C","A","Better","Worse","Worse",-85.457,13.199,"Ap15",2016,2016-01-08
"SJC 730-79","INTA Ferroso","INTA Matagalpa","B","A","Worse","Better","Worse",-85.719,13.132,"Ap15",2015,2015-12-18
"INTA Sequia","INTA Precoz","BRT 103-182","A","C","Better","Worse","Worse",-85.722,13.138,"Ap15",2015,2015-12-20
"INTA Matagalpa","INTA Precoz","INTA Sequia","A","C","Better","Worse","Worse",-85.368,13.336,"Ap15",2015,2015-12-15
"INTA Sequia","INTA Precoz","INTA Centro Sur","C","A","Worse","Worse","Better",-85.589,13.404,"Ap15",2015,2015-12-28
"SJC 730-79","PM2 Don Rey","INTA Matagalpa","B","C","Worse","Better","Worse",-85.457,12.828,"Ap15",2015,2015-12-08
"SJC 730-79","INTA Sequia","INTA Matagalpa","B","A","Worse","Better","Worse",-85.505,13.241,"Ap15",2015,2015-12-12
"INTA Precoz","SJC 730-79","INTA Sequia","C","B","Worse","Worse","Better",-85.453,13.208,"Ap15",2015,2015-12-08
"INTA Precoz","PM2 Don Rey","INTA Matagalpa","B","C","Worse","Worse","Worse",-85.453,12.824,"Ap15",2015,2015-12-09
"PM2 Don Rey","INTA Rojo","ALS 0532-6","B","C","Worse","Better","Worse",-85.468,12.803,"Ap15",2016,2016-01-06
"INTA Centro Sur","INTA Ferroso","INTA Sequia","B","A","Worse","Better","Worse",-85.231,12.915,"Ap15",2015,2015-12-15
"INTA Matagalpa","ALS 0532-6","BRT 103-182","C","A","Worse","Worse","Better",-85.663,13.363,"Ap15",2015,2015-12-16
"ALS 0532-6","INTA Ferroso","INTA Rojo","C","B","Worse","Better","Worse",-85.717,13.133,"Ap15",2015,2015-12-11
"INTA Matagalpa","ALS 0532-6","INTA Centro Sur","C","A","Worse","Worse","Better",-86.001,13.084,"Ap15",2015,2015-12-01
"INTA Rojo","PM2 Don Rey","ALS 0532-6","A","B","Better","Worse","Worse",-85.46,12.831,"Ap15",2015,2015-12-14
"ALS 0532-6","INTA Sequia","BRT 103-182","B","A","Worse","Better","Worse",-85.237,12.899,"Ap15",2016,2016-01-15
"INTA Precoz","INTA Centro Sur","INTA Ferroso","A","C","Worse","Better","Worse",-85.434,13.022,"Ap15",2015,2015-12-18
"SJC 730-79","PM2 Don Rey","INTA Sequia","B","A","Worse","Better","Worse",-85.629,13.36,"Ap15",2015,2015-12-20
"INTA Rojo","INTA Matagalpa","SJC 730-79","B","C","Worse","Better","Worse",-85.67,13.43,"Ap15",2016,2016-01-17
"PM2 Don Rey","ALS 0532-6","INTA Matagalpa","B","A","Worse","Better","Worse",-85.637,13.402,"Ap15",2016,2016-01-10
"INTA Centro Sur","BRT 103-182","INTA Sequia","C","A","Worse","Worse","Better",-86.002,13.087,"Ap15",2015,2015-11-30
"INTA Centro Sur","BRT 103-182","INTA Precoz","A","B","Better","Worse","Worse",-85.544,12.664,"Ap15",2015,2015-12-09
"ALS 0532-6","INTA Rojo","INTA Matagalpa","A","C","Better","Worse","Worse",-85.672,13.365,"Ap15",2015,2015-12-15
"BRT 103-182","SJC 730-79","PM2 Don Rey","C","B","Worse","Worse","Better",-85.401,13.003,"Ap15",2016,2016-01-20
"INTA Rojo","INTA Centro Sur","INTA Matagalpa","C","B","Worse","Worse","Better",-85.57,13.392,"Ap15",2015,2015-12-19
"PM2 Don Rey","SJC 730-79","ALS 0532-6","A","C","Better","Worse","Worse",-85.618,13.419,"Ap15",2015,2015-12-15
"PM2 Don Rey","SJC 730-79","INTA Rojo","C","A","Better","Better","Better",-85.594,13.395,"Ap15",2015,2015-12-15
"SJC 730-79","BRT 103-182","INTA Matagalpa","A","C","Better","Worse","Worse",-85.685,13.414,"Ap15",2016,2016-01-12
"INTA Matagalpa","ALS 0532-6","INTA Rojo","A","C","Better","Worse","Worse",-86.003,13.087,"Ap15",2015,2015-12-14
"INTA Matagalpa","INTA Centro Sur","INTA Sequia","C","A","Worse","Worse","Better",-85.553,13.459,"Ap15",2015,2015-12-24
"ALS 0532-6","BRT 103-182","INTA Ferroso","B","A","Worse","Better","Worse",-85.622,13.386,"Ap15",2015,2015-12-16
"PM2 Don Rey","ALS 0532-6","INTA Rojo","B","A","Worse","Better","Worse",-85.46,12.819,"Ap15",2015,2015-12-14
"SJC 730-79","INTA Ferroso","INTA Centro Sur","C","B","Worse","Worse","Better",-85.459,12.796,"Ap15",2016,2016-01-01
"BRT 103-182","ALS 0532-6","INTA Precoz","C","A","Better","Better","Better",-86.001,13.084,"Ap15",2015,2015-12-08
"INTA Matagalpa","SJC 730-79","INTA Centro Sur","C","B","Worse","Worse","Better",-85.452,12.816,"Ap15",2015,2015-12-18
"INTA Ferroso","INTA Sequia","SJC 730-79","B","A","Worse","Better","Better",-86.002,13.084,"Ap15",2015,2015-12-01
"INTA Ferroso","INTA Rojo","INTA Sequia","A","B","Worse","Worse","Better",-85.467,12.829,"Ap15",2015,2015-12-16
"INTA Rojo","INTA Precoz","ALS 0532-6","A","B","Better","Better","Better",-86.001,13.084,"Ap15",2015,2015-12-05
"INTA Matagalpa","INTA Centro Sur","INTA Ferroso","C","A","Worse","Worse","Better",-85.679,13.382,"Ap15",2015,2015-12-14
"ALS 0532-6","INTA Centro Sur","INTA Rojo","A","C","Worse","Better","Worse",-86.003,13.093,"Ap15",2015,2015-12-23
"INTA Rojo","INTA Sequia","SJC 730-79","B","A","Better","Better","Better",-85.588,12.719,"Ap15",2015,2015-12-08
"INTA Centro Sur","INTA Ferroso","PM2 Don Rey","B","C","Better","Better","Worse",-85.625,13.37,"Ap15",2015,2015-12-04
"BRT 103-182","INTA Matagalpa","ALS 0532-6","B","C","Worse","Better","Better",-85.46,12.795,"Ap15",2015,2015-12-16
"INTA Precoz","SJC 730-79","INTA Sequia","B","A","Worse","Better","Better",-85.463,12.835,"Ap15",2015,2015-12-10
"INTA Centro Sur","INTA Rojo","PM2 Don Rey","C","B","Better","Better","Better",-85.464,12.831,"Ap15",2015,2015-12-01
"INTA Sequia","INTA Matagalpa","SJC 730-79","C","A","Worse","Better","Better",-85.671,13.364,"Ap15",2015,2015-12-15
"INTA Sequia","INTA Centro Sur","PM2 Don Rey","C","B","Better","Worse","Better",-85.64,13.378,"Ap15",2015,2015-12-21
"SJC 730-79","INTA Matagalpa","INTA Precoz","B","C","Better","Better","Worse",-85.658,13.359,"Ap15",2015,2015-12-15
"INTA Centro Sur","BRT 103-182","PM2 Don Rey","C","B","Worse","Better","Worse",-85.457,12.824,"Ap15",2015,2015-12-23
"INTA Matagalpa","INTA Sequia","INTA Precoz","A","C","Worse","Worse","Worse",-85.461,12.812,"Ap15",2015,2015-12-15
"SJC 730-79","INTA Rojo","INTA Ferroso","A","C","Better","Worse","Worse",-85.578,13.412,"Ap15",2015,2015-12-20
"ALS 0532-6","BRT 103-182","INTA Centro Sur","B","C","Worse","Better","Worse",-86.001,13.084,"Ap15",2015,2015-11-30
